DATE,PERIOD,CATEGORY,ACTIVE_USERS,NUMBER_OF_SWAPS,TXN_PER_USER,VOLUME_USD
2024-05-19 00:00:00.000,0.25% fee,Whale,143,737,5.153846,146911630.1
2024-05-20 00:00:00.000,0.25% fee,Retail User,162876,904157,5.551198,3171181886.4
2024-05-20 00:00:00.000,0.25% fee,Whale,297,1818,6.121212,500087039.84
2024-05-21 00:00:00.000,0.25% fee,Retail User,182791,1000210,5.471878,3497155675.58
2024-05-21 00:00:00.000,0.25% fee,Whale,338,1933,5.718935,639927003.33
2024-05-22 00:00:00.000,0.25% fee,Retail User,179715,850512,4.73256,2469283492.77
2024-05-22 00:00:00.000,0.25% fee,Whale,237,1562,6.590717,396548691.82
2024-05-23 00:00:00.000,0.25% fee,Retail User,185012,1107370,5.985396,5084867294.96
2024-05-23 00:00:00.000,0.25% fee,Whale,325,2033,6.255385,671770719.48
2024-05-24 00:00:00.000,0.25% fee,Retail User,171420,884598,5.160413,2335599135.79
2024-05-24 00:00:00.000,0.25% fee,Whale,212,1709,8.061321,400658295.98
2024-05-25 00:00:00.000,0.25% fee,Retail User,153778,624601,4.061706,1081734409.28
2024-05-25 00:00:00.000,0.25% fee,Whale,100,877,8.77,149332357.48
2024-05-26 00:00:00.000,0.25% fee,Retail User,153630,692034,4.50455,1762542222.42
2024-05-26 00:00:00.000,0.25% fee,Whale,128,1181,9.226563,341513944.8
2024-05-27 00:00:00.000,0.25% fee,Retail User,168258,757617,4.50271,1928716633.22
2024-05-27 00:00:00.000,0.25% fee,Whale,188,1217,6.473404,307265947.42
2024-05-28 00:00:00.000,0.25% fee,Retail User,163421,776412,4.750993,1859939016.53
2024-05-28 00:00:00.000,0.25% fee,Whale,140,1222,8.728571,241469963.58
2024-05-29 00:00:00.000,0.25% fee,Retail User,169810,758727,4.468094,2246540620.73
2024-05-29 00:00:00.000,0.25% fee,Whale,152,1455,9.572368,434056844.54
2024-05-30 00:00:00.000,0.25% fee,Retail User,180156,805862,4.473134,1765907086.57
2024-05-30 00:00:00.000,0.25% fee,Whale,168,1246,7.416667,321287447.91
2024-05-31 00:00:00.000,0.25% fee,Retail User,181203,775524,4.279863,1842281543.48
2024-05-31 00:00:00.000,0.25% fee,Whale,159,1425,8.962264,315139614.02
2024-06-01 00:00:00.000,0.25% fee,Retail User,152036,576019,3.788701,946365789.55
2024-06-01 00:00:00.000,0.25% fee,Whale,140,755,5.392857,130592659.87
2024-06-02 00:00:00.000,0.25% fee,Retail User,150112,621898,4.142893,1065198968.37
2024-06-02 00:00:00.000,0.25% fee,Whale,129,720,5.581395,163744733.06
2024-06-03 00:00:00.000,0.25% fee,Retail User,169237,746474,4.41082,1458291695.64
2024-06-03 00:00:00.000,0.25% fee,Whale,165,965,5.848485,204549954.42
2024-06-04 00:00:00.000,0.25% fee,Retail User,188582,848347,4.498558,1493701593.82
2024-06-04 00:00:00.000,0.25% fee,Whale,183,1001,5.469945,252760769.48
2024-06-05 00:00:00.000,0.25% fee,Retail User,183095,864889,4.723717,1586471274.77
2024-06-05 00:00:00.000,0.25% fee,Whale,149,924,6.201342,201563902.76
2024-06-06 00:00:00.000,0.25% fee,Retail User,169141,859800,5.083333,1267217418.32
2024-06-06 00:00:00.000,0.25% fee,Whale,157,692,4.407643,164774467.08
2024-06-07 00:00:00.000,0.25% fee,Retail User,178563,940793,5.268689,1847644779.09
2024-06-07 00:00:00.000,0.25% fee,Whale,222,939,4.22973,225889116.65
2024-06-08 00:00:00.000,0.25% fee,Retail User,168194,769237,4.57351,928745545.62
2024-06-08 00:00:00.000,0.25% fee,Whale,126,511,4.055556,126753911.01
2024-06-09 00:00:00.000,0.25% fee,Retail User,164623,661922,4.020835,826001401.86
2024-06-09 00:00:00.000,0.25% fee,Whale,101,427,4.227723,105938136.4
