DATE,PLATFORM,PERIOD,VOLUME_USD,SWAPS,UNIQUE_SWAPPERS,ACTIVE_POOLS
2023-10-11 00:00:00.000,uniswap-v2,no fee,46174268.12,140309,37566,3730
2023-10-11 00:00:00.000,uniswap-v3,no fee,574277361.27,189532,54636,3186
2023-10-12 00:00:00.000,uniswap-v2,no fee,40775448.29,131895,38808,3759
2023-10-12 00:00:00.000,uniswap-v3,no fee,551122960.35,202043,56735,3310
2023-10-13 00:00:00.000,uniswap-v2,no fee,37821322.8,126785,36688,4048
2023-10-13 00:00:00.000,uniswap-v3,no fee,445201142.61,189167,53662,3204
2023-10-14 00:00:00.000,uniswap-v2,no fee,29971421.67,121862,34000,3902
2023-10-14 00:00:00.000,uniswap-v3,no fee,210995686.12,135141,50279,3084
2023-10-15 00:00:00.000,uniswap-v2,no fee,38153501.73,112568,32248,3909
2023-10-15 00:00:00.000,uniswap-v3,no fee,288377130.48,176564,57148,3177
2023-10-16 00:00:00.000,uniswap-v2,no fee,48101771.9,144560,38133,3929
2023-10-16 00:00:00.000,uniswap-v3,no fee,1096150272.22,238468,60107,3410
2023-10-17 00:00:00.000,uniswap-v2,0.15% fee,45314593.51,137424,39656,3994
2023-10-17 00:00:00.000,uniswap-v3,0.15% fee,533742666.39,194825,63914,3382
2023-10-18 00:00:00.000,uniswap-v2,0.15% fee,51922396.92,148404,39882,3944
2023-10-18 00:00:00.000,uniswap-v3,0.15% fee,605984563.85,184015,56060,3296
2023-10-19 00:00:00.000,uniswap-v2,0.15% fee,56772680.44,162856,42102,3826
2023-10-19 00:00:00.000,uniswap-v3,0.15% fee,464508789.85,191107,57173,3282
2023-10-20 00:00:00.000,uniswap-v2,0.15% fee,55461125.74,163163,43004,3768
2023-10-20 00:00:00.000,uniswap-v3,0.15% fee,822630975.16,240334,60253,3372
2023-10-21 00:00:00.000,uniswap-v2,0.15% fee,57280416.23,133861,37816,3819
2023-10-21 00:00:00.000,uniswap-v3,0.15% fee,549931341.62,219045,58600,3505
2023-10-22 00:00:00.000,uniswap-v2,0.15% fee,67148314.37,135993,38997,3782
2023-10-22 00:00:00.000,uniswap-v3,0.15% fee,642131296.28,252546,56838,3506
2023-10-23 00:00:00.000,uniswap-v2,0.15% fee,106826871.22,158269,47188,3605
2023-10-23 00:00:00.000,uniswap-v3,0.15% fee,1626378558.88,340122,63250,3678
2023-10-24 00:00:00.000,uniswap-v2,0.15% fee,110049906.94,157970,49295,3779
2023-10-24 00:00:00.000,uniswap-v3,0.15% fee,2020155245.4,396446,72951,3764
2023-10-25 00:00:00.000,uniswap-v2,0.15% fee,100702963.1,160322,49408,3707
2023-10-25 00:00:00.000,uniswap-v3,0.15% fee,1167788334.05,319104,72898,3357
2023-10-26 00:00:00.000,uniswap-v2,0.15% fee,114592046.77,168942,48893,3615
2023-10-26 00:00:00.000,uniswap-v3,0.15% fee,1346669071.3,342659,71614,3479
2023-10-27 00:00:00.000,uniswap-v2,0.15% fee,107059044.86,176384,50732,3750
2023-10-27 00:00:00.000,uniswap-v3,0.15% fee,810301726.77,277143,75522,3353
2023-10-28 00:00:00.000,uniswap-v2,0.15% fee,74398576.56,168783,47191,3839
2023-10-28 00:00:00.000,uniswap-v3,0.15% fee,393631192.98,204123,68305,3257
2023-10-29 00:00:00.000,uniswap-v2,0.15% fee,72048634.92,162153,45924,3801
2023-10-29 00:00:00.000,uniswap-v3,0.15% fee,438758486.76,202376,58958,3304
2023-10-30 00:00:00.000,uniswap-v2,0.15% fee,82573447.18,175097,48875,3536
2023-10-30 00:00:00.000,uniswap-v3,0.15% fee,878575456.7,239068,60309,3259
2023-10-31 00:00:00.000,uniswap-v2,0.15% fee,100315665.67,177557,51208,3726
2023-10-31 00:00:00.000,uniswap-v3,0.15% fee,867200783.04,275416,70891,3409
2023-11-01 00:00:00.000,uniswap-v2,0.15% fee,92645960.8,169415,49944,3664
2023-11-01 00:00:00.000,uniswap-v3,0.15% fee,1241886197.4,324769,70251,3638
2023-11-02 00:00:00.000,uniswap-v2,0.15% fee,98095029.1,164928,51138,3669
2023-11-02 00:00:00.000,uniswap-v3,0.15% fee,1174522507.7,300793,67213,3596
2023-11-03 00:00:00.000,uniswap-v2,0.15% fee,79006132.84,146284,46262,3715
2023-11-03 00:00:00.000,uniswap-v3,0.15% fee,998285922.5,300394,70259,3539
2023-11-04 00:00:00.000,uniswap-v2,0.15% fee,69012875.65,157761,46399,3843
2023-11-04 00:00:00.000,uniswap-v3,0.15% fee,568163393.83,245482,70600,3469
2023-11-05 00:00:00.000,uniswap-v2,0.15% fee,73313486.4,172334,48234,3753
2023-11-05 00:00:00.000,uniswap-v3,0.15% fee,982947872.26,282999,71745,3624
2023-11-06 00:00:00.000,uniswap-v2,0.15% fee,89819996.64,179477,51131,3453
2023-11-06 00:00:00.000,uniswap-v3,0.15% fee,1039802489.69,281095,67942,3501
2023-11-07 00:00:00.000,uniswap-v2,0.15% fee,97647742.45,159744,51133,3517
2023-11-07 00:00:00.000,uniswap-v3,0.15% fee,1073931488.88,301946,76971,3588
2023-11-08 00:00:00.000,uniswap-v2,0.15% fee,109292831.59,179764,54762,3554
2023-11-08 00:00:00.000,uniswap-v3,0.15% fee,818138358.96,269578,80931,3599
